58267,92
66312,76
97570,69
19761,51
94536,47
47631,29
74194,30
89897,42
24408,44
98620,82
49187,99
45673,41
14534,44
35705,59
91434,37
46037,24
46438,54
19858,22
40927,73
87232,15
23003,40
14815,41
21166,93
96878,80
76208,83
99022,52
82607,56
54029,15
19778,58
94982,50
66211,39
15070,69
90243,28
89671,58
63630,83
91427,28
71976,52
37815,88
91619,70
33616,99
19228,87
77233,67
52957,81
41262,63
85702,55
89175,52
32445,61
88894,77
39014,22
93583,25
62079,69
68848,51
84339,94
90574,37
89601,35
86604,32
21941,96
20310,14
29864,71
71645,11
76398,22
24027,21
11253,34
20250,16
56052,40
47698,28
57050,10
70648,32
14623,25
48809,20
92298,52
51280,26
39646,10
98332,56
51810,52
84824,66
89031,45
65149,89
80460,98
38787,42
12654,88
56332,43
39801,94
38176,17
71258,39
96210,56
36102,57
68497,31
68235,29
84903,78
17955,35
26303,48
27183,55
20967,57
53899,25
46024,52
14513,79
12756,48
43083,26
16443,73
